region,direction,layout,size,renovation,garden,year,floor,district,price,danjia
东城, 北 南 , 2室1厅 , 57.75, 简装,长青园 ,1990,6,左安门,480,83117.0
东城, 西北 , 3室1厅 , 80.15, 简装,板厂新里 ,1990,18,广渠门,650,81098.0
东城, 东 西 , 2室1厅 , 80.63, 精装,南门仓胡同 ,2003,6,朝阳门内,920,114102.0
东城, 西北 , 2室1厅 , 75.51, 精装,华龙美晟 ,2009,12,永定门,530,70190.0
东城, 东 西 , 2室1厅 , 64.41, 简装,北河沿大街 ,1989,6,灯市口,706,109611.0
东城, 东 南 北 , 3室1厅 , 113.66, 精装,东四十条 ,1990,18,东四,1350,118776.0
东城, 西南 , 3室1厅 , 152.14, 简装,和平新城一期 ,2003,21,和平里,1430,93993.0
东城, 南 北 , 4室2厅 , 212.68, 其他,水上华城 ,2008,24,广渠门,2350,110495.0
东城, 南 北 , 3室1厅 , 103.5, 简装,民旺园十九号院 ,2000,7,和平里,1000,96619.0
东城, 南 北 , 2室1厅 , 82.41, 精装,法华南里 ,1995,6,崇文门,735,89189.0
东城, 南 北 , 3室1厅 , 112.74, 简装,和平里五区 ,2000,6,和平里,1250,110875.0
东城, 南 北 , 3室1厅 , 102.27, 精装,国瑞城中区 ,2006,16,崇文门,935,91425.0
东城, 南 , 1室1厅 , 38.73, 简装,兴隆都市馨园 ,2004,7,崇文门,405,104571.0
东城, 西 , 2室1厅 , 100.02, 精装,府上嘉园 ,2008,11,安定门,1190,118977.0
东城, 南 北 , 2室1厅 , 64.89, 简装,北新仓胡同 ,2003,7,东直门,740,114040.0
东城, 南 , 3室1厅 , 107.84, 精装,景泰西里西区 ,2005,9,永定门,730,67693.0
东城, 西北 , 3室1厅 , 177.19, 精装,贡院九号 ,2000,18,建国门内,1700,95943.0
东城, 东南 , 3室1厅 , 140.48, 简装,东方银座 ,2003,26,东直门,1050,74744.0
东城, 南 北 , 3室2厅 , 149.86, 简装,东中公寓 ,1997,12,东直门,1250,83412.0
东城, 南 西 北 , 3室1厅 , 86.5, 简装,富莱茵花园 ,2000,6,永定门,580,67053.0
东城, 西 , 1室1厅 , 47.72, 其他,东花市北里中区 ,1990,6,东花市,450,94301.0
东城, 南 北 , 3室1厅 , 139.91, 简装,丽水湾畔家园 ,2002,21,广渠门,1030,73619.0
东城, 南 北 , 2室2厅 , 131.79, 精装,海晟名苑南区 ,2004,22,工体,1598,121254.0
东城, 东北 , 2室1厅 , 83.62, 精装,京城仁合 ,2004,16,广渠门,750,89692.0
东城, 南 北 , 2室1厅 , 113.11, 精装,水上华城 ,2005,23,广渠门,1180,104324.0
